Year_Of_Valuation,Property_Type,State,Location,Location_Rating, Land_Size_sqm ,Open_Market_Value,Forced_Sale_Value,Insurance_Value
2012,Land,Lagos,Ikeja_1,8, 615.04 ,"100,000,000","46,000,000","1,500,000"
2013,Office Complex,Lagos,Victoria Island,9," 4,327.71 ","2,970,000,000","2,079,000,000","1,600,000,000"
2013,Apartment Block,Lagos,Ikoyi,10," 5,500.00 ","4,000,000,000","2,800,000,000","2,100,000,000"
2013,Detached House,Lagos,Okota,3," 1,500.00 ","70,000,000","49,000,000","50,000,000"
2013,Tenement House,Lagos,Amukoko,, 183.28 ,"10,000,000","7,000,000","5,000,000"
2013,Flat,Lagos,Surulere,5,,"14,000,000","10,000,000","7,000,000"
,Hostel,Osun,"OAU, Ile-Ife",3,3787.665,"330,000,000","231,000,000","180,000,000"
2013,Apartment Block,Lagos,Lekki Phase 1,8.5," 1,351.61 ","300,000,000","210,000,000","100,000,000"
2013,Apartment Block,Lagos,Surulere,5,400.23,"55,000,000","39,000,000","25,000,000"
2013,Land,Lagos,Agege,3," 99,540.00 ","640,000,000","448,000,000",0
2013,Detached House,Lagos,Ajao Estate,4,657.579,"110,000,000","77,000,000","60,000,000"
2013,Apartment Block,Abia,Aba,2,,"35,000,000","25,000,000","24,000,000"
,Hall,Lagos,Surulere,5, 451.84 ,"40,000,000","28,000,000","15,000,000"
2013,Apartment Block,Lagos,Shangisha,, 698.00 ,"75,000,000","53,000,000","50,000,000"
2013,Detached House,Lagos,Ajao Estate,4, 669.00 ,"75,000,000","53,000,000","50,000,000"
2013,Semi-Detached House,Lagos,Okota,3, 565.00 ,"50,000,000","35,000,000","30,000,000"
2013,Hotel,Lagos,Ikeja_1,, 481.00 ,"200,000,000","140,000,000","100,000,000"
2013,Detached House,Lagos,Ajao Estate,4, 669.00 ,"75,000,000","53,000,000","50,000,000"
2013,Apartment Block,Lagos,Okota,3,,"50,000,000","35,000,000","30,000,000"
,Semi-Detached House,Lagos,Festac,, 270.00 ,"37,000,000","26,000,000","20,000,000"
2013,Semi-Detached House,Lagos,Festac,3, 346.00 ,"65,000,000","45,500,000","40,000,000"
2013,Apartment Block,Lagos,Ajah,5," 1,334.00 ","230,000,000","161,000,000","150,000,000"
2013,Apartment Block,Lagos,Maryland,6, 667.00 ,"70,000,000","49,000,000","45,000,000"
2013,Apartment Block,Lagos,Ojodu,4, 867.00 ,"60,000,000","45,000,000","35,000,000"
2013,Detached House,Lagos,Surulere,5, 683.00 ,"80,000,000","56,000,000","45,000,000"
2013,Detached House,Lagos,Gbagada,5, 454.00 ,"65,000,000","46,000,000","40,000,000"
,Detached House,Lagos,Ajao Estate,4, 311.00 ,"60,000,000","42,000,000","45,000,000"
